prompt_id,prompt_text,prompt_type,language,prompt_length,commercial_intent
P0046,为科技品牌制作简洁高端的品牌宣传片，突出可靠与创新，编号046,品牌宣传,zh,31,high
P0047,用清晰动画解释太阳能电池的工作原理，适合一分钟科普视频，编号047,教育科普,zh,33,medium
P0048,用清晰动画解释太阳能电池的工作原理，适合一分钟科普视频，编号048,教育科普,zh,33,medium
P0049,两位朋友在雨夜车站重逢，情绪克制，使用电影叙事镜头，编号049,短剧剧情,zh,31,medium
P0050,为一款轻量运动鞋制作电影感产品广告，展示材质细节与动态镜头，编号050,商品广告,zh,35,high
P0051,航拍山谷与湖泊的旅行短片，清晨薄雾，画面宁静，编号051,风景旅行,zh,28,low
P0052,生成适合社交平台发布的轻松搞笑短片，节奏明快，编号052,社交娱乐,zh,28,low
P0053,生成适合社交平台发布的轻松搞笑短片，节奏明快，编号053,社交娱乐,zh,28,low
P0054,两位朋友在雨夜车站重逢，情绪克制，使用电影叙事镜头，编号054,短剧剧情,zh,31,medium
P0055,两位朋友在雨夜车站重逢，情绪克制，使用电影叙事镜头，编号055,短剧剧情,zh,31,medium
P0056,生成适合社交平台发布的轻松搞笑短片，节奏明快，编号056,社交娱乐,zh,28,low
P0057,生成一段自然光下的人物写真视频，镜头缓慢推进，肤色真实，编号057,人物写真,zh,33,medium
P0058,生成适合社交平台发布的轻松搞笑短片，节奏明快，编号058,社交娱乐,zh,28,low
P0059,两位朋友在雨夜车站重逢，情绪克制，使用电影叙事镜头，编号059,短剧剧情,zh,31,medium
P0060,为一款轻量运动鞋制作电影感产品广告，展示材质细节与动态镜头，编号060,商品广告,zh,35,high
P0061,生成一段自然光下的人物写真视频，镜头缓慢推进，肤色真实，编号061,人物写真,zh,33,medium
P0062,"Create a cinematic 风景旅行 video with coherent motion, natural lighting and clear subject details, sample 062",风景旅行,en,106,low
P0063,两位朋友在雨夜车站重逢，情绪克制，使用电影叙事镜头，编号063,短剧剧情,zh,31,medium
P0064,生成一段自然光下的人物写真视频，镜头缓慢推进，肤色真实，编号064,人物写真,zh,33,medium
P0065,两位朋友在雨夜车站重逢，情绪克制，使用电影叙事镜头，编号065,短剧剧情,zh,31,medium
P0066,航拍山谷与湖泊的旅行短片，清晨薄雾，画面宁静，编号066,风景旅行,zh,28,low
P0067,为科技品牌制作简洁高端的品牌宣传片，突出可靠与创新，编号067,品牌宣传,zh,31,high
P0068,航拍山谷与湖泊的旅行短片，清晨薄雾，画面宁静，编号068,风景旅行,zh,28,low
P0069,两位朋友在雨夜车站重逢，情绪克制，使用电影叙事镜头，编号069,短剧剧情,zh,31,medium
P0070,航拍山谷与湖泊的旅行短片，清晨薄雾，画面宁静，编号070,风景旅行,zh,28,low
P0071,为科技品牌制作简洁高端的品牌宣传片，突出可靠与创新，编号071,品牌宣传,zh,31,high
P0072,航拍山谷与湖泊的旅行短片，清晨薄雾，画面宁静，编号072,风景旅行,zh,28,low
P0073,生成一段自然光下的人物写真视频，镜头缓慢推进，肤色真实，编号073,人物写真,zh,33,medium
P0074,"Create a cinematic 品牌宣传 video with coherent motion, natural lighting and clear subject details, sample 074",品牌宣传,en,106,high
P0075,动漫少年站在霓虹城市天台，风吹动衣角，强烈风格化光影，编号075,二次元,zh,32,low
P0076,"Create a cinematic 品牌宣传 video with coherent motion, natural lighting and clear subject details, sample 076",品牌宣传,en,106,high
P0077,用清晰动画解释太阳能电池的工作原理，适合一分钟科普视频，编号077,教育科普,zh,33,medium
P0078,为科技品牌制作简洁高端的品牌宣传片，突出可靠与创新，编号078,品牌宣传,zh,31,high
P0079,用清晰动画解释太阳能电池的工作原理，适合一分钟科普视频，编号079,教育科普,zh,33,medium
P0080,航拍山谷与湖泊的旅行短片，清晨薄雾，画面宁静，编号080,风景旅行,zh,28,low
P0081,生成一段自然光下的人物写真视频，镜头缓慢推进，肤色真实，编号081,人物写真,zh,33,medium
P0082,两位朋友在雨夜车站重逢，情绪克制，使用电影叙事镜头，编号082,短剧剧情,zh,31,medium
P0083,为一款轻量运动鞋制作电影感产品广告，展示材质细节与动态镜头，编号083,商品广告,zh,35,high
P0084,为科技品牌制作简洁高端的品牌宣传片，突出可靠与创新，编号084,品牌宣传,zh,31,high
P0085,"Create a cinematic 社交娱乐 video with coherent motion, natural lighting and clear subject details, sample 085",社交娱乐,en,106,low
P0086,"Create a cinematic 风景旅行 video with coherent motion, natural lighting and clear subject details, sample 086",风景旅行,en,106,low
P0087,两位朋友在雨夜车站重逢，情绪克制，使用电影叙事镜头，编号087,短剧剧情,zh,31,medium
P0088,生成适合社交平台发布的轻松搞笑短片，节奏明快，编号088,社交娱乐,zh,28,low
P0089,为科技品牌制作简洁高端的品牌宣传片，突出可靠与创新，编号089,品牌宣传,zh,31,high
P0090,用清晰动画解释太阳能电池的工作原理，适合一分钟科普视频，编号090,教育科普,zh,33,medium
P0091,生成一段自然光下的人物写真视频，镜头缓慢推进，肤色真实，编号091,人物写真,zh,33,medium
P0092,"Create a cinematic 社交娱乐 video with coherent motion, natural lighting and clear subject details, sample 092",社交娱乐,en,106,low
P0093,为一款轻量运动鞋制作电影感产品广告，展示材质细节与动态镜头，编号093,商品广告,zh,35,high
P0094,生成适合社交平台发布的轻松搞笑短片，节奏明快，编号094,社交娱乐,zh,28,low
P0095,航拍山谷与湖泊的旅行短片，清晨薄雾，画面宁静，编号095,风景旅行,zh,28,low
P0096,航拍山谷与湖泊的旅行短片，清晨薄雾，画面宁静，编号096,风景旅行,zh,28,low
P0097,生成适合社交平台发布的轻松搞笑短片，节奏明快，编号097,社交娱乐,zh,28,low
P0098,为一款轻量运动鞋制作电影感产品广告，展示材质细节与动态镜头，编号098,商品广告,zh,35,high
P0099,为一款轻量运动鞋制作电影感产品广告，展示材质细节与动态镜头，编号099,商品广告,zh,35,high
P0100,动漫少年站在霓虹城市天台，风吹动衣角，强烈风格化光影，编号100,二次元,zh,32,low
P0101,两位朋友在雨夜车站重逢，情绪克制，使用电影叙事镜头，编号101,短剧剧情,zh,31,medium
P0102,生成一段自然光下的人物写真视频，镜头缓慢推进，肤色真实，编号102,人物写真,zh,33,medium
P0103,动漫少年站在霓虹城市天台，风吹动衣角，强烈风格化光影，编号103,二次元,zh,32,low
P0104,为一款轻量运动鞋制作电影感产品广告，展示材质细节与动态镜头，编号104,商品广告,zh,35,high
P0105,两位朋友在雨夜车站重逢，情绪克制，使用电影叙事镜头，编号105,短剧剧情,zh,31,medium
P0106,为一款轻量运动鞋制作电影感产品广告，展示材质细节与动态镜头，编号106,商品广告,zh,35,high
P0107,动漫少年站在霓虹城市天台，风吹动衣角，强烈风格化光影，编号107,二次元,zh,32,low
P0108,生成一段自然光下的人物写真视频，镜头缓慢推进，肤色真实，编号108,人物写真,zh,33,medium
P0109,航拍山谷与湖泊的旅行短片，清晨薄雾，画面宁静，编号109,风景旅行,zh,28,low
P0110,生成一段自然光下的人物写真视频，镜头缓慢推进，肤色真实，编号110,人物写真,zh,33,medium
P0111,航拍山谷与湖泊的旅行短片，清晨薄雾，画面宁静，编号111,风景旅行,zh,28,low
P0112,用清晰动画解释太阳能电池的工作原理，适合一分钟科普视频，编号112,教育科普,zh,33,medium
P0113,"Create a cinematic 商品广告 video with coherent motion, natural lighting and clear subject details, sample 113",商品广告,en,106,high
P0114,为一款轻量运动鞋制作电影感产品广告，展示材质细节与动态镜头，编号114,商品广告,zh,35,high
P0115,航拍山谷与湖泊的旅行短片，清晨薄雾，画面宁静，编号115,风景旅行,zh,28,low
P0116,航拍山谷与湖泊的旅行短片，清晨薄雾，画面宁静，编号116,风景旅行,zh,28,low
P0117,生成一段自然光下的人物写真视频，镜头缓慢推进，肤色真实，编号117,人物写真,zh,33,medium
P0118,为一款轻量运动鞋制作电影感产品广告，展示材质细节与动态镜头，编号118,商品广告,zh,35,high
P0119,为科技品牌制作简洁高端的品牌宣传片，突出可靠与创新，编号119,品牌宣传,zh,31,high
P0120,为一款轻量运动鞋制作电影感产品广告，展示材质细节与动态镜头，编号120,商品广告,zh,35,high
P0121,生成适合社交平台发布的轻松搞笑短片，节奏明快，编号121,社交娱乐,zh,28,low
P0122,为一款轻量运动鞋制作电影感产品广告，展示材质细节与动态镜头，编号122,商品广告,zh,35,high
P0123,为科技品牌制作简洁高端的品牌宣传片，突出可靠与创新，编号123,品牌宣传,zh,31,high
P0124,"Create a cinematic 品牌宣传 video with coherent motion, natural lighting and clear subject details, sample 124",品牌宣传,en,106,high
P0125,为一款轻量运动鞋制作电影感产品广告，展示材质细节与动态镜头，编号125,商品广告,zh,35,high
P0126,为科技品牌制作简洁高端的品牌宣传片，突出可靠与创新，编号126,品牌宣传,zh,31,high
P0127,生成适合社交平台发布的轻松搞笑短片，节奏明快，编号127,社交娱乐,zh,28,low
P0128,为科技品牌制作简洁高端的品牌宣传片，突出可靠与创新，编号128,品牌宣传,zh,31,high
P0129,用清晰动画解释太阳能电池的工作原理，适合一分钟科普视频，编号129,教育科普,zh,33,medium
P0130,动漫少年站在霓虹城市天台，风吹动衣角，强烈风格化光影，编号130,二次元,zh,32,low
P0131,动漫少年站在霓虹城市天台，风吹动衣角，强烈风格化光影，编号131,二次元,zh,32,low
P0132,航拍山谷与湖泊的旅行短片，清晨薄雾，画面宁静，编号132,风景旅行,zh,28,low
P0133,生成适合社交平台发布的轻松搞笑短片，节奏明快，编号133,社交娱乐,zh,28,low
P0134,用清晰动画解释太阳能电池的工作原理，适合一分钟科普视频，编号134,教育科普,zh,33,medium
P0135,航拍山谷与湖泊的旅行短片，清晨薄雾，画面宁静，编号135,风景旅行,zh,28,low
P0136,"Create a cinematic 社交娱乐 video with coherent motion, natural lighting and clear subject details, sample 136",社交娱乐,en,106,low
P0137,生成一段自然光下的人物写真视频，镜头缓慢推进，肤色真实，编号137,人物写真,zh,33,medium
P0138,"Create a cinematic 品牌宣传 video with coherent motion, natural lighting and clear subject details, sample 138",品牌宣传,en,106,high
P0139,为一款轻量运动鞋制作电影感产品广告，展示材质细节与动态镜头，编号139,商品广告,zh,35,high
P0140,为科技品牌制作简洁高端的品牌宣传片，突出可靠与创新，编号140,品牌宣传,zh,31,high
P0141,生成适合社交平台发布的轻松搞笑短片，节奏明快，编号141,社交娱乐,zh,28,low
P0142,为一款轻量运动鞋制作电影感产品广告，展示材质细节与动态镜头，编号142,商品广告,zh,35,high
P0143,生成一段自然光下的人物写真视频，镜头缓慢推进，肤色真实，编号143,人物写真,zh,33,medium
P0144,生成适合社交平台发布的轻松搞笑短片，节奏明快，编号144,社交娱乐,zh,28,low
P0145,为科技品牌制作简洁高端的品牌宣传片，突出可靠与创新，编号145,品牌宣传,zh,31,high
P0146,"Create a cinematic 二次元 video with coherent motion, natural lighting and clear subject details, sample 146",二次元,en,105,low
P0147,生成适合社交平台发布的轻松搞笑短片，节奏明快，编号147,社交娱乐,zh,28,low
P0148,为科技品牌制作简洁高端的品牌宣传片，突出可靠与创新，编号148,品牌宣传,zh,31,high
P0149,生成一段自然光下的人物写真视频，镜头缓慢推进，肤色真实，编号149,人物写真,zh,33,medium
P0150,动漫少年站在霓虹城市天台，风吹动衣角，强烈风格化光影，编号150,二次元,zh,32,low
P0151,"Create a cinematic 社交娱乐 video with coherent motion, natural lighting and clear subject details, sample 151",社交娱乐,en,106,low
P0152,为科技品牌制作简洁高端的品牌宣传片，突出可靠与创新，编号152,品牌宣传,zh,31,high
P0153,两位朋友在雨夜车站重逢，情绪克制，使用电影叙事镜头，编号153,短剧剧情,zh,31,medium
P0154,为一款轻量运动鞋制作电影感产品广告，展示材质细节与动态镜头，编号154,商品广告,zh,35,high
P0155,为科技品牌制作简洁高端的品牌宣传片，突出可靠与创新，编号155,品牌宣传,zh,31,high
P0156,两位朋友在雨夜车站重逢，情绪克制，使用电影叙事镜头，编号156,短剧剧情,zh,31,medium
P0157,为科技品牌制作简洁高端的品牌宣传片，突出可靠与创新，编号157,品牌宣传,zh,31,high
P0158,"Create a cinematic 社交娱乐 video with coherent motion, natural lighting and clear subject details, sample 158",社交娱乐,en,106,low
P0159,为科技品牌制作简洁高端的品牌宣传片，突出可靠与创新，编号159,品牌宣传,zh,31,high
P0160,用清晰动画解释太阳能电池的工作原理，适合一分钟科普视频，编号160,教育科普,zh,33,medium
P0161,为科技品牌制作简洁高端的品牌宣传片，突出可靠与创新，编号161,品牌宣传,zh,31,high
P0162,两位朋友在雨夜车站重逢，情绪克制，使用电影叙事镜头，编号162,短剧剧情,zh,31,medium
P0163,用清晰动画解释太阳能电池的工作原理，适合一分钟科普视频，编号163,教育科普,zh,33,medium
P0164,"Create a cinematic 人物写真 video with coherent motion, natural lighting and clear subject details, sample 164",人物写真,en,106,medium
P0165,两位朋友在雨夜车站重逢，情绪克制，使用电影叙事镜头，编号165,短剧剧情,zh,31,medium
P0166,为科技品牌制作简洁高端的品牌宣传片，突出可靠与创新，编号166,品牌宣传,zh,31,high
P0167,"Create a cinematic 二次元 video with coherent motion, natural lighting and clear subject details, sample 167",二次元,en,105,low
P0168,用清晰动画解释太阳能电池的工作原理，适合一分钟科普视频，编号168,教育科普,zh,33,medium
P0169,为一款轻量运动鞋制作电影感产品广告，展示材质细节与动态镜头，编号169,商品广告,zh,35,high
P0170,"Create a cinematic 商品广告 video with coherent motion, natural lighting and clear subject details, sample 170",商品广告,en,106,high
P0171,两位朋友在雨夜车站重逢，情绪克制，使用电影叙事镜头，编号171,短剧剧情,zh,31,medium
P0172,生成一段自然光下的人物写真视频，镜头缓慢推进，肤色真实，编号172,人物写真,zh,33,medium
P0173,生成一段自然光下的人物写真视频，镜头缓慢推进，肤色真实，编号173,人物写真,zh,33,medium
P0174,为一款轻量运动鞋制作电影感产品广告，展示材质细节与动态镜头，编号174,商品广告,zh,35,high
P0175,用清晰动画解释太阳能电池的工作原理，适合一分钟科普视频，编号175,教育科普,zh,33,medium
P0176,"Create a cinematic 二次元 video with coherent motion, natural lighting and clear subject details, sample 176",二次元,en,105,low
P0177,动漫少年站在霓虹城市天台，风吹动衣角，强烈风格化光影，编号177,二次元,zh,32,low
P0178,为科技品牌制作简洁高端的品牌宣传片，突出可靠与创新，编号178,品牌宣传,zh,31,high
P0179,航拍山谷与湖泊的旅行短片，清晨薄雾，画面宁静，编号179,风景旅行,zh,28,low
P0180,"Create a cinematic 教育科普 video with coherent motion, natural lighting and clear subject details, sample 180",教育科普,en,106,medium
P0181,为一款轻量运动鞋制作电影感产品广告，展示材质细节与动态镜头，编号181,商品广告,zh,35,high
P0182,航拍山谷与湖泊的旅行短片，清晨薄雾，画面宁静，编号182,风景旅行,zh,28,low
P0183,为一款轻量运动鞋制作电影感产品广告，展示材质细节与动态镜头，编号183,商品广告,zh,35,high
P0184,生成适合社交平台发布的轻松搞笑短片，节奏明快，编号184,社交娱乐,zh,28,low
P0185,"Create a cinematic 社交娱乐 video with coherent motion, natural lighting and clear subject details, sample 185",社交娱乐,en,106,low
P0186,为一款轻量运动鞋制作电影感产品广告，展示材质细节与动态镜头，编号186,商品广告,zh,35,high
P0187,"Create a cinematic 社交娱乐 video with coherent motion, natural lighting and clear subject details, sample 187",社交娱乐,en,106,low
P0188,生成适合社交平台发布的轻松搞笑短片，节奏明快，编号188,社交娱乐,zh,28,low
P0189,生成适合社交平台发布的轻松搞笑短片，节奏明快，编号189,社交娱乐,zh,28,low
P0190,生成一段自然光下的人物写真视频，镜头缓慢推进，肤色真实，编号190,人物写真,zh,33,medium
P0191,生成适合社交平台发布的轻松搞笑短片，节奏明快，编号191,社交娱乐,zh,28,low
P0192,生成适合社交平台发布的轻松搞笑短片，节奏明快，编号192,社交娱乐,zh,28,low
P0193,动漫少年站在霓虹城市天台，风吹动衣角，强烈风格化光影，编号193,二次元,zh,32,low
P0194,两位朋友在雨夜车站重逢，情绪克制，使用电影叙事镜头，编号194,短剧剧情,zh,31,medium
P0195,为一款轻量运动鞋制作电影感产品广告，展示材质细节与动态镜头，编号195,商品广告,zh,35,high
P0196,生成适合社交平台发布的轻松搞笑短片，节奏明快，编号196,社交娱乐,zh,28,low
P0197,动漫少年站在霓虹城市天台，风吹动衣角，强烈风格化光影，编号197,二次元,zh,32,low
P0198,航拍山谷与湖泊的旅行短片，清晨薄雾，画面宁静，编号198,风景旅行,zh,28,low
P0199,动漫少年站在霓虹城市天台，风吹动衣角，强烈风格化光影，编号199,二次元,zh,32,low
P0200,为一款轻量运动鞋制作电影感产品广告，展示材质细节与动态镜头，编号200,商品广告,zh,35,high
P0201,两位朋友在雨夜车站重逢，情绪克制，使用电影叙事镜头，编号201,短剧剧情,zh,31,medium
P0202,生成适合社交平台发布的轻松搞笑短片，节奏明快，编号202,社交娱乐,zh,28,low
P0203,两位朋友在雨夜车站重逢，情绪克制，使用电影叙事镜头，编号203,短剧剧情,zh,31,medium
P0204,"Create a cinematic 品牌宣传 video with coherent motion, natural lighting and clear subject details, sample 204",品牌宣传,en,106,high
P0205,航拍山谷与湖泊的旅行短片，清晨薄雾，画面宁静，编号205,风景旅行,zh,28,low
P0206,生成适合社交平台发布的轻松搞笑短片，节奏明快，编号206,社交娱乐,zh,28,low
P0207,为一款轻量运动鞋制作电影感产品广告，展示材质细节与动态镜头，编号207,商品广告,zh,35,high
P0208,为一款轻量运动鞋制作电影感产品广告，展示材质细节与动态镜头，编号208,商品广告,zh,35,high
P0209,用清晰动画解释太阳能电池的工作原理，适合一分钟科普视频，编号209,教育科普,zh,33,medium
P0210,两位朋友在雨夜车站重逢，情绪克制，使用电影叙事镜头，编号210,短剧剧情,zh,31,medium
P0211,"Create a cinematic 商品广告 video with coherent motion, natural lighting and clear subject details, sample 211",商品广告,en,106,high
P0212,用清晰动画解释太阳能电池的工作原理，适合一分钟科普视频，编号212,教育科普,zh,33,medium
P0213,为科技品牌制作简洁高端的品牌宣传片，突出可靠与创新，编号213,品牌宣传,zh,31,high
P0214,为科技品牌制作简洁高端的品牌宣传片，突出可靠与创新，编号214,品牌宣传,zh,31,high
P0215,用清晰动画解释太阳能电池的工作原理，适合一分钟科普视频，编号215,教育科普,zh,33,medium
P0216,生成适合社交平台发布的轻松搞笑短片，节奏明快，编号216,社交娱乐,zh,28,low
P0217,为一款轻量运动鞋制作电影感产品广告，展示材质细节与动态镜头，编号217,商品广告,zh,35,high
P0218,为一款轻量运动鞋制作电影感产品广告，展示材质细节与动态镜头，编号218,商品广告,zh,35,high
P0219,生成一段自然光下的人物写真视频，镜头缓慢推进，肤色真实，编号219,人物写真,zh,33,medium
P0220,航拍山谷与湖泊的旅行短片，清晨薄雾，画面宁静，编号220,风景旅行,zh,28,low
P0221,两位朋友在雨夜车站重逢，情绪克制，使用电影叙事镜头，编号221,短剧剧情,zh,31,medium
P0222,为科技品牌制作简洁高端的品牌宣传片，突出可靠与创新，编号222,品牌宣传,zh,31,high
P0223,生成适合社交平台发布的轻松搞笑短片，节奏明快，编号223,社交娱乐,zh,28,low
P0224,用清晰动画解释太阳能电池的工作原理，适合一分钟科普视频，编号224,教育科普,zh,33,medium
P0225,为一款轻量运动鞋制作电影感产品广告，展示材质细节与动态镜头，编号225,商品广告,zh,35,high
P0226,生成一段自然光下的人物写真视频，镜头缓慢推进，肤色真实，编号226,人物写真,zh,33,medium
P0227,"Create a cinematic 商品广告 video with coherent motion, natural lighting and clear subject details, sample 227",商品广告,en,106,high
P0228,"Create a cinematic 短剧剧情 video with coherent motion, natural lighting and clear subject details, sample 228",短剧剧情,en,106,medium
P0229,为一款轻量运动鞋制作电影感产品广告，展示材质细节与动态镜头，编号229,商品广告,zh,35,high
P0230,为一款轻量运动鞋制作电影感产品广告，展示材质细节与动态镜头，编号230,商品广告,zh,35,high
P0231,动漫少年站在霓虹城市天台，风吹动衣角，强烈风格化光影，编号231,二次元,zh,32,low
P0232,为科技品牌制作简洁高端的品牌宣传片，突出可靠与创新，编号232,品牌宣传,zh,31,high
P0233,航拍山谷与湖泊的旅行短片，清晨薄雾，画面宁静，编号233,风景旅行,zh,28,low
P0234,为科技品牌制作简洁高端的品牌宣传片，突出可靠与创新，编号234,品牌宣传,zh,31,high
P0235,生成一段自然光下的人物写真视频，镜头缓慢推进，肤色真实，编号235,人物写真,zh,33,medium
P0236,为一款轻量运动鞋制作电影感产品广告，展示材质细节与动态镜头，编号236,商品广告,zh,35,high
P0237,"Create a cinematic 品牌宣传 video with coherent motion, natural lighting and clear subject details, sample 237",品牌宣传,en,106,high
P0238,航拍山谷与湖泊的旅行短片，清晨薄雾，画面宁静，编号238,风景旅行,zh,28,low
P0239,生成适合社交平台发布的轻松搞笑短片，节奏明快，编号239,社交娱乐,zh,28,low
P0240,生成适合社交平台发布的轻松搞笑短片，节奏明快，编号240,社交娱乐,zh,28,low
P0241,两位朋友在雨夜车站重逢，情绪克制，使用电影叙事镜头，编号241,短剧剧情,zh,31,medium
P0242,动漫少年站在霓虹城市天台，风吹动衣角，强烈风格化光影，编号242,二次元,zh,32,low
P0243,生成适合社交平台发布的轻松搞笑短片，节奏明快，编号243,社交娱乐,zh,28,low
P0244,两位朋友在雨夜车站重逢，情绪克制，使用电影叙事镜头，编号244,短剧剧情,zh,31,medium
P0245,"Create a cinematic 短剧剧情 video with coherent motion, natural lighting and clear subject details, sample 245",短剧剧情,en,106,medium
P0246,为一款轻量运动鞋制作电影感产品广告，展示材质细节与动态镜头，编号246,商品广告,zh,35,high
P0247,生成适合社交平台发布的轻松搞笑短片，节奏明快，编号247,社交娱乐,zh,28,low
P0248,"Create a cinematic 二次元 video with coherent motion, natural lighting and clear subject details, sample 248",二次元,en,105,low
P0249,动漫少年站在霓虹城市天台，风吹动衣角，强烈风格化光影，编号249,二次元,zh,32,low
P0250,"Create a cinematic 短剧剧情 video with coherent motion, natural lighting and clear subject details, sample 250",短剧剧情,en,106,medium
P0251,为科技品牌制作简洁高端的品牌宣传片，突出可靠与创新，编号251,品牌宣传,zh,31,high
P0252,为一款轻量运动鞋制作电影感产品广告，展示材质细节与动态镜头，编号252,商品广告,zh,35,high
P0253,生成一段自然光下的人物写真视频，镜头缓慢推进，肤色真实，编号253,人物写真,zh,33,medium
P0254,动漫少年站在霓虹城市天台，风吹动衣角，强烈风格化光影，编号254,二次元,zh,32,low
P0255,航拍山谷与湖泊的旅行短片，清晨薄雾，画面宁静，编号255,风景旅行,zh,28,low
P0256,用清晰动画解释太阳能电池的工作原理，适合一分钟科普视频，编号256,教育科普,zh,33,medium
P0257,为科技品牌制作简洁高端的品牌宣传片，突出可靠与创新，编号257,品牌宣传,zh,31,high
P0258,生成一段自然光下的人物写真视频，镜头缓慢推进，肤色真实，编号258,人物写真,zh,33,medium
P0259,生成一段自然光下的人物写真视频，镜头缓慢推进，肤色真实，编号259,人物写真,zh,33,medium
P0260,"Create a cinematic 商品广告 video with coherent motion, natural lighting and clear subject details, sample 260",商品广告,en,106,high
P0261,航拍山谷与湖泊的旅行短片，清晨薄雾，画面宁静，编号261,风景旅行,zh,28,low
P0262,为一款轻量运动鞋制作电影感产品广告，展示材质细节与动态镜头，编号262,商品广告,zh,35,high
